name                     log10(mstar)     u-r color       z		log(10) ssfr     Lbol       T        Lg
SansaStark               9.950949         1.863897        0.088		0                44.22      4.39     43.39  
Varys                    10.247111        2.080359        0.1206	0                44.05      4.27     43.50  
GendryBaratheon          9.836247         1.902652        0.0457	-11.09214        44.10      4.25     43.57  
CerseiLannister          9.490118         1.981500        0.091		0                44.53      4.59     43.23  
Melisandre               10.014825        2.009498        0.01450	0                43.46      4.27     42.88  
BranStark                10.459184        2.185075        0.0512	0                44.46      4.59     43.16  
Brienne                  9.743655         2.057400        0.074		0                44.04      4.34     43.32  
PetyrBalish              10.195969        2.082258        0.193		0                44.00      4.19     43.58  
MargaeryTyrell           9.704483         1.985294        0.152		0                44.36      4.44     43.42  
JonSnow                  10.626332        2.121167        0.051		0                43.86      4.53     42.69  
AryaStark                10.003546        1.982306        0.138		0                44.03      4.38     43.26  
Bronn                    10.068899        1.991438        0.148		0                44.12      4.35     43.38  
JorahMormont             10.630474        2.342460        0.212		0                44.72      4.23     44.21  
NedStark                 9.949983         2.304809        0.071		0                43.76      4.14     43.41  
JaimeLannister           9.822969         1.815522        0.022		-10.55756        44.44      4.51     43.33  
RobbStark                9.863050         1.924086        0.117		0                43.70      4.14     43.37  
CatelynStark             9.305446         1.824091        0.078		0                43.15      4.06     42.92  
